GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PDF Processor API,com.pdfprocessor.api.exception,GlobalExceptionHandler.ErrorResponse,15,24,0,0,6,9,1,5,1,5
PDF Processor API,com.pdfprocessor.api.exception,GlobalExceptionHandler,106,56,0,3,26,13,7,6,7,4
PDF Processor API,com.pdfprocessor.api.exception,SecurityValidationException,23,10,0,0,9,4,3,2,3,2
PDF Processor API,com.pdfprocessor.api.config,JacksonConfig,0,15,0,0,0,4,0,2,0,2
PDF Processor API,com.pdfprocessor.api.config,WebConfig,0,65,0,0,0,12,0,3,0,3
PDF Processor API,com.pdfprocessor.api.config,WebMvcConfig,0,36,0,0,0,6,0,2,0,2
PDF Processor API,com.pdfprocessor.api.config,OpenApiConfig,0,49,0,0,0,15,0,2,0,2
PDF Processor API,com.pdfprocessor.api.config,LoggingInterceptor,50,116,10,6,11,26,7,6,1,4
PDF Processor API,com.pdfprocessor.api.config,SecurityConfig,0,63,0,0,0,13,0,10,0,10
PDF Processor API,com.pdfprocessor.api.config,ApiKeyAuthenticationFilter,20,119,9,13,6,33,9,7,0,5
PDF Processor API,com.pdfprocessor.api,ApiApplication,5,3,0,0,2,1,1,1,1,1
PDF Processor API,com.pdfprocessor.api.security,SecurityHeadersFilter,0,70,0,4,0,19,0,4,0,2
PDF Processor API,com.pdfprocessor.api.service,RateLimitService,4,141,4,12,1,33,4,10,0,6
PDF Processor API,com.pdfprocessor.api.service,RateLimitService.RequestWindow,0,17,0,0,0,5,0,2,0,2
PDF Processor API,com.pdfprocessor.api.service,InputValidationService,103,443,25,79,18,91,25,40,0,13
PDF Processor API,com.pdfprocessor.api.controller,OperationsController.OperationInfo,21,0,0,0,8,0,4,0,4,0
PDF Processor API,com.pdfprocessor.api.controller,JobController.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
PDF Processor API,com.pdfprocessor.api.controller,OperationsController,81,6,4,0,25,3,6,1,4,1
PDF Processor API,com.pdfprocessor.api.controller,JobController,91,169,6,10,19,45,7,7,2,4
PDF Processor API,com.pdfprocessor.api.controller,HealthController,146,9,6,0,32,4,6,1,3,1
PDF Processor API,com.pdfprocessor.api.controller,MonitoringController,264,3,10,0,56,1,10,1,5,1
